repository	tag	version	size_bytes	size_human	amd64_digest	loaded_bytes
library/mongo	latest	8.2.12	336700841	321.1 MiB	sha256:41afd6e1183f57e4e4d03ab733070671fca8553da2b36f15d6e3fc9760494d17	1629647811204316750
apache/superset	latest	null	326574758	311.4 MiB	sha256:1a6413b6733d6608e69fbf378201de0b0cbd505bac99ad3987d0fde5803ddadd	197256705929460758
netdata/netdata	latest	null	320795551	305.9 MiB	sha256:7043214a8cd3f985648aba11fba56ddaf01404595bc62af3e1510fea897f1178	167741082719070226
library/golang	latest	1.27.0	316156544	301.5 MiB	sha256:eef6a67266eeed3c86dd47fd01b32faa8bf0229eb83eb3d4d466e80391bd3820	836560171825883648
datadog/agent	latest	7.82.3	283360337	270.2 MiB	sha256:00fe77d6f4e3572444de5d72676e8160ff4aa876d35f6c23b48bd1796cee57d8	3191352008704609399
bitnami/mongodb	latest	null	274765613	262.0 MiB	sha256:efde7d80c104bf46941d65b1147630660000fa84247805dec18223297ab24ba4	476927980871000418
library/wordpress	latest	7.1.0	274695616	262.0 MiB	sha256:49801e46d08eb27ea68ed62e205bb35b1bb2dc962251bf2292a7d374f9637cee	407968858433959680
library/mysql	latest	26.7.0	272333489	259.7 MiB	sha256:973c5e8e4d2f12ecc3da9ca9d8d4189b6a7e3d17584c66fca6dae6993c0417ed	1389642321497859474
jenkins/jenkins	latest	2.579	242424378	231.2 MiB	sha256:741cb208a3d164576525a3b21e12830f587f9d01789d7eb46b43d35d716ff4aa	1208352339043394958
newrelic/infrastructure-k8s	latest	null	223150431	212.8 MiB	sha256:e18615286aaecba2bb5e1df831e98c31f83edae3444deb63362e8e8f81f5b10a	175413503914846470
newrelic/infrastructure-bundle	latest	null	209314168	199.6 MiB	sha256:46e2942a1765015f159362814ef5ceeab2dc305be09c00d6edcf8c1079f1f497	740778508136103136
envoyproxy/envoy	tools-dev-0260c653ae6084a2118c8e4fb9eba84529df22f0	null	195746075	186.7 MiB	sha256:1d14b7ddfaa7692c618c297077d1f581fe4997399d2e696c9a36d3fd3626b5f7	1124738649585639375
library/php	latest	8.5.9	189278787	180.5 MiB	sha256:163579b783d544b72bc40ada710b7e57ecd2a7f14decb69df4ba243936b9783f	254562702314771073
linuxserver/plex	latest	1.43.3	187423765	178.7 MiB	sha256:94b8e5dc1797cd54d64da5a8df8b3391d698309185fecdc5e63deff5c95988dd	170163786406617570
plexinc/pms-docker	latest	1.43.3.10896-cb3ebc72d	164779813	157.1 MiB	sha256:c708587e4874617961a1bc24db9cffa2413653ff422f1b05dfec013339e6824d	149634103182434706
library/postgres	latest	18.6	162433831	154.9 MiB	sha256:7341002d2b8c7c5bdd7542a671a95b36196c0b5b888daf454ae4fc33ba5346d7	1841019871422196087
seabreeze/azure-mesh-counter	0.5-alpine	0.5-alpine	151054092	144.1 MiB	sha256:3b7c1d9ff871407b773a0f6e84226a85b36dc6a58abf5133c6380bf4da7edbd3	177224228695463292
rancher/rancher-agent	head	v2.16-e44525721bf9036439755ff535f84f4525f91e7c-head	148987989	142.1 MiB	sha256:cafe7acc2d580fb7d296478ab227ab1498b947013e506e822f5ec051d4a0a314	534843067163766174
library/docker	latest	29.7.2	144702884	138.0 MiB	sha256:ab772b0eaf0b01e5843f6574e50ccdfc34a7bdcb82bbf2decafde54a0ee884a9	516715275657839240
amazon/aws-cli	latest	2.36.33	139977625	133.5 MiB	sha256:b80c4299fccaaff92a45a6a1cda38d5daad68b828f22590a46b1bc6ef88e6628	210440284157045000
amazon/aws-for-fluent-bit	latest	2.34.3.20260818	137477880	131.1 MiB	sha256:f1253b0d8357430dc7aa4474d0f2af0b2e3098a5199f2d3bcc36f22f6b7d5fcb	505418310895564800
bitnami/postgresql	latest	null	127234014	121.3 MiB	sha256:dbeb7eb6a7ee82747096fa236dbcbd0051cc90cf0d7eed127e539e5ce7ffde70	479076112542288822
library/rabbitmq	latest	4.3.5	116235818	110.9 MiB	sha256:5c9c5cfe34aa5c56a871f4b19aefeee688ea73021c05972db91ac800e94d2bd0	448510358955562298
gitlab/gitlab-runner	latest	null	111916303	106.7 MiB	sha256:74b206418b4fc11b8161db5c261509e8db7ebd99ac6771cc2f0cff15a206cf68	407837447125747848
prom/prometheus	latest	v3.14.0	109359907	104.3 MiB	sha256:e906cef998316bbe319f98711e1b4d8613ad37e14b08ff831d7036e77b7464f9	219176511360823165
library/mariadb	latest	12.3.3	105412226	100.5 MiB	sha256:ebfd70b7d9681eae911fa3f11b1e5b76b19e316ddd6cc9fc699f86dc881d0b30	334041108561443174
kope/protokube	1.4.2	1.4.2	98918904	94.3 MiB	sha256:e207c9fc9de306a3fb799499ff384df8d5a067c6450a237eaf90fa8bc028d0ee	212352300849847536
fluxcd/flux	1.25.4	1.25.4	98027313	93.5 MiB	sha256:c18e0c96fbb510fffa27ca0fb2561c2124e74f975a8a826d1f33cd4c82552db1	190912096103267538
